,coal,oil,lignite,gas
2019-01-02,9.753598014888338,,8.691844569214004,22.475000381469727
2019-01-03,9.55955334987593,,8.518923144197458,22.2549991607666
2019-01-04,9.52531017369727,,8.488407598606301,22.93000030517578
2019-01-05,9.52531017369727,,8.488407598606301,22.93000030517578
2019-01-06,9.52531017369727,,8.488407598606301,22.93000030517578
2019-01-07,9.30272952853598,37.52529919292069,8.290056552263795,21.530000686645508
2019-01-08,9.365508684863524,37.52529919292069,8.346001719180913,22.09000015258789
2019-01-09,9.365508684863524,37.52529919292069,8.346001719180913,21.719999313354492
2019-01-10,9.376923076923077,37.52529919292069,8.356173567711298,21.674999237060547
2019-01-11,9.42258064516129,37.52529919292069,8.396860961832838,22.2549991607666
2019-01-12,9.42258064516129,37.52529919292069,8.396860961832838,22.2549991607666
2019-01-13,9.42258064516129,37.52529919292069,8.396860961832838,22.2549991607666
2019-01-14,9.359801488833746,38.565223358631926,8.34091579491572,21.674999237060547
2019-01-15,9.416873449131513,38.565223358631926,8.391775037567644,22.0
2019-01-16,9.468238213399504,38.565223358631926,8.437548355954378,22.0049991607666
2019-01-17,9.519602977667494,38.565223358631926,8.483321674341111,22.9950008392334
2019-01-18,9.496774193548388,38.565223358631926,8.46297797728034,22.604999542236328
2019-01-19,9.496774193548388,38.565223358631926,8.46297797728034,22.604999542236328
2019-01-20,9.496774193548388,38.565223358631926,8.46297797728034,22.604999542236328
2019-01-21,9.394044665012405,37.55402106520887,8.371431340506874,22.604999542236328
2019-01-22,9.359801488833746,37.55402106520887,8.34091579491572,21.815000534057617
2019-01-23,9.354094292803971,37.55402106520887,8.335829870650528,22.190000534057617
2019-01-24,9.342679900744415,37.55402106520887,8.325658022120141,21.280000686645508
2019-01-25,9.30272952853598,37.55402106520887,8.290056552263795,20.889999389648438
2019-01-26,9.30272952853598,37.55402106520887,8.290056552263795,20.889999389648438
2019-01-27,9.30272952853598,37.55402106520887,8.290056552263795,20.889999389648438
2019-01-28,9.017369727047146,37.950660752929984,8.035760339004169,20.549999237060547
2019-01-29,9.102977667493796,37.950660752929984,8.112049202982057,20.584999084472656
2019-01-30,9.11439205955335,37.950660752929984,8.122221051512442,20.18000030517578
2019-01-31,9.023076923076923,37.950660752929984,8.040846263269362,19.850000381469727
2019-02-01,8.87468982630273,37.950660752929984,7.908612232374356,19.299999237060547
2019-02-02,8.87468982630273,37.950660752929984,7.908612232374356,19.299999237060547
2019-02-03,8.87468982630273,37.950660752929984,7.908612232374356,19.299999237060547
2019-02-04,8.709181141439204,38.53632021498874,7.761120428683772,19.354999542236328
2019-02-05,8.640694789081886,38.53632021498874,7.700089337501463,19.139999389648438
2019-02-06,8.680645161290322,38.53632021498874,7.73569080735781,18.915000915527344
2019-02-07,8.58362282878412,38.53632021498874,7.64923009484954,18.90999984741211
2019-02-08,8.458064516129031,38.53632021498874,7.537339761015303,18.264999389648438
2019-02-09,8.458064516129031,38.53632021498874,7.537339761015303,18.264999389648438
2019-02-10,8.458064516129031,38.53632021498874,7.537339761015303,18.264999389648438
2019-02-11,8.400992555831266,38.77340211199109,7.486480518363378,18.05500030517578
2019-02-12,8.349627791563275,38.77340211199109,7.440707199976645,17.78499984741211
2019-02-13,8.458064516129031,38.77340211199109,7.537339761015303,18.020000457763672
2019-02-14,8.418114143920596,38.77340211199109,7.501738291158955,17.7549991607666
2019-02-15,8.458064516129031,38.77340211199109,7.537339761015303,18.100000381469727
2019-02-16,8.458064516129031,38.77340211199109,7.537339761015303,18.100000381469727
2019-02-17,8.458064516129031,38.77340211199109,7.537339761015303,18.100000381469727
2019-02-18,8.458064516129031,40.12626217654344,7.537339761015303,18.100000381469727
2019-02-19,8.452357320099255,40.12626217654344,7.53225383675011,17.704999923706055
2019-02-20,8.486600496277916,40.12626217654344,7.562769382341266,18.145000457763672
2019-02-21,8.475186104218363,40.12626217654344,7.552597533810881,17.520000457763672
2019-02-22,8.458064516129031,40.12626217654344,7.537339761015303,17.229999542236328
2019-02-23,8.458064516129031,40.12626217654344,7.537339761015303,17.229999542236328
2019-02-24,8.458064516129031,40.12626217654344,7.537339761015303,17.229999542236328
2019-02-25,8.361042183622828,39.966291097296576,7.45087904850703,16.94499969482422
2019-02-26,8.452357320099255,39.966291097296576,7.53225383675011,17.045000076293945
2019-02-27,8.56650124069479,39.966291097296576,7.63397232205396,17.614999771118164
2019-02-28,8.56650124069479,39.966291097296576,7.63397232205396,17.815000534057617
2019-03-01,8.515136476426797,39.966291097296576,7.588199003667226,17.31999969482422
2019-03-02,8.515136476426797,39.966291097296576,7.588199003667226,17.31999969482422
2019-03-03,8.515136476426797,39.966291097296576,7.588199003667226,17.31999969482422
2019-03-04,8.572208436724566,40.78150245982356,7.639058246319153,17.399999618530273
2019-03-05,8.503722084367245,40.78150245982356,7.5780271551368426,17.18000030517578
2019-03-06,8.383870967741936,40.78150245982356,7.471222745567801,16.850000381469727
2019-03-07,8.349627791563275,40.78150245982356,7.440707199976645,16.8700008392334
2019-03-08,8.258312655086847,40.78150245982356,7.359332411733564,16.729999542236328
2019-03-09,8.258312655086847,40.78150245982356,7.359332411733564,16.729999542236328
2019-03-10,8.258312655086847,40.78150245982356,7.359332411733564,16.729999542236328
2019-03-11,8.252605459057072,41.24476435204506,7.354246487468373,16.625
2019-03-12,8.29255583126551,41.24476435204506,7.389847957324721,16.209999084472656
2019-03-13,8.195533498759305,41.24476435204506,7.303387244816447,15.725000381469727
2019-03-14,8.212655086848635,41.24476435204506,7.318645017612025,15.604999542236328
