fuel,coal,coal,coal,oil,oil,oil,gas,gas,gas
metric,bought,generated,stored,bought,generated,stored,bought,generated,stored
Unnamed: 0,,,,,,,,,
2020-01-31,1607.9842105263158,611.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,5000.0,465.6495000000001,3774.6065789473682,0.0,0.0,0.0,3000.0,111.43149999999991,2797.397272727273
2020-03-31,0.0,0.0,3774.6065789473682,0.0,0.0,0.0,0.0,580.7655,1741.4600000000005
2020-04-30,0.0,0.0,3774.6065789473682,0.0,0.0,0.0,84.91545454545417,501.54900000000004,914.4681818181818
2020-05-31,0.0,0.0,3774.6065789473682,0.0,0.0,0.0,3000.0,502.95750000000004,3000.0
2020-06-30,0.0,493.834,2475.0434210526314,0.0,0.0,0.0,0.0,0.0,3000.0
2020-07-31,0.0,0.0,2475.0434210526314,0.0,0.0,0.0,0.0,476.0355,2134.4809090909093
2020-08-31,0.0,513.3665,1124.0789473684208,0.0,0.0,0.0,0.0,0.0,2134.4809090909093
2020-09-30,0.0,0.0,1124.0789473684208,0.0,0.0,0.0,0.0,497.028,1230.7936363636366
2020-10-31,0.0,427.14999999999986,0.0,0.0,0.0,0.0,0.0,113.93650000000012,1023.6363636363636
2020-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.0,0.0
2020-12-31,1576.7907894736845,599.1805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
