Month,Cost_EUR,Accumulated_Cost,Coal_Bought,Oil_Bought,Gas_Bought,Coal_Generated,Oil_Generated,Gas_Generated
2020-01-31,15630.48462230614,15630.48462230614,2105.2631578947367,0.0,288.1963636363637,800.0,0.0,158.50800000000004
2020-02-29,13605.83617133258,29236.32079363872,2105.2631578947367,0.0,205.41727272727277,800.0,0.0,112.97950000000003
2020-03-31,13429.209400833372,42665.53019447209,2105.2631578947367,0.0,242.2736363636363,800.0,0.0,133.2505
2020-04-30,9948.874228298071,52614.40442277017,0.0,0.0,1484.8327272727272,0.0,0.0,816.658
2020-05-31,7515.72002908873,60130.124451858894,0.0,0.0,1523.0418181818181,0.0,0.0,837.673
2020-06-30,7983.893711542302,68114.0181634012,0.0,0.0,1494.4581818181816,0.0,0.0,821.952
2020-07-31,7795.438742048313,75909.45690544951,0.0,0.0,1452.7990909090906,0.0,0.0,799.0395
2020-08-31,12985.613973549885,88895.0708789994,0.0,0.0,1579.3245454545454,0.0,0.0,868.6285
2020-09-30,13414.984050291052,102310.05492929045,2105.2631578947367,0.0,73.12272727272722,800.0,0.0,40.21749999999997
2020-10-31,16825.279101403074,119135.33403069351,2105.2631578947367,0.0,222.73272727272735,800.0,0.0,122.50300000000004
2020-11-30,16039.035846273413,135174.36987696693,2105.2631578947367,0.0,241.67545454545458,800.0,0.0,132.92150000000004
2020-12-31,20184.063501052493,155358.43337801943,2105.2631578947367,0.0,273.5272727272728,800.0,0.0,150.44000000000005
2021-01-31,24804.561380027943,180162.99475804737,2105.2631578947367,0.0,416.7327272727272,800.0,0.0,229.20299999999997
2021-02-28,21401.318349500332,201564.3131075477,2105.2631578947367,0.0,317.05909090909097,800.0,0.0,174.38250000000005
2021-03-31,21810.006132015726,223374.31923956343,2105.2631578947367,0.0,321.70363636363635,800.0,0.0,176.937
2021-04-30,21133.529026897293,244507.84826646073,2105.2631578947367,0.0,209.09363636363628,800.0,0.0,115.00149999999996
2021-05-31,25090.388731418618,269598.23699787934,2105.2631578947367,0.0,200.179090909091,800.0,0.0,110.09850000000006
2021-06-30,29580.352422173848,299178.5894200532,2105.2631578947367,0.0,130.9336363636364,800.0,0.0,72.01350000000002
2021-07-31,35813.83247344118,334992.4218934944,2105.2631578947367,0.0,129.5927272727274,800.0,0.0,71.27600000000007
2021-08-31,42955.32605127389,377947.7479447683,2105.2631578947367,0.0,174.17636363636367,800.0,0.0,95.79700000000003
2021-09-30,53800.20015940546,431747.94810417376,2105.2631578947367,0.0,184.65181818181813,800.0,0.0,101.55849999999998
2021-10-31,75768.62597904663,507516.5740832204,2105.2631578947367,380.7424242424242,0.0,800.0,125.64499999999998,0.0
2021-11-30,60320.53448083748,567837.1085640579,2105.2631578947367,0.0,313.9381818181819,800.0,0.0,172.66600000000005
2021-12-31,68654.20932226462,636491.3178863225,2105.2631578947367,718.4136363636367,0.0,800.0,237.07650000000012,0.0
2022-01-31,70914.41215586883,707405.7300421913,2105.2631578947367,0.0,404.84000000000003,800.0,0.0,222.66200000000003
2022-02-28,65965.38443964173,773371.1144818331,2105.2631578947367,0.0,252.01636363636368,800.0,0.0,138.60900000000004
2022-03-31,112642.76959807515,886013.8840799083,2105.2631578947367,444.4727272727274,0.0,800.0,146.67600000000004,0.0
2022-04-30,85596.66771239313,971610.5517923014,2105.2631578947367,0.0,112.92181818181813,800.0,0.0,62.10699999999997
2022-05-31,88221.73460026068,1059832.286392562,2105.2631578947367,0.0,117.02727272727273,800.0,0.0,64.36500000000001
2022-06-30,85362.59443339307,1145194.8808259552,2105.2631578947367,0.0,40.862727272727334,800.0,0.0,22.474500000000035
2022-07-31,89955.07602937648,1235149.9568553315,2056.675,0.0,0.0,781.5365,0.0,0.0
2022-08-31,95283.58132550781,1330433.5381808393,2105.2631578947367,148.27727272727282,0.0,800.0,48.93150000000003,0.0
2022-09-30,86177.14270010988,1416610.6808809491,2105.2631578947367,63.072727272727164,0.0,800.0,20.813999999999965,0.0
2022-10-31,77651.95781249648,1494262.6386934456,2105.2631578947367,174.76818181818177,0.0,800.0,57.67349999999999,0.0
2022-11-30,73960.88960788406,1568223.5283013296,2105.2631578947367,350.3833333333332,0.0,800.0,115.62649999999996,0.0
2022-12-31,83401.55221182597,1651625.0805131556,2105.2631578947367,420.0636363636363,0.0,800.0,138.62099999999998,0.0
