Month,Cost_EUR,Accumulated_Cost,Coal_Bought,Oil_Bought,Gas_Bought,Coal_Generated,Oil_Generated,Gas_Generated
2019-01-31,16148.560053643727,16148.560053643727,1721.3565789473685,0.0,0.0,654.1155,0.0,0.0
2019-02-28,12548.873219194855,28697.43327283858,1471.3539473684211,0.0,0.0,559.1145,0.0,0.0
2019-03-31,12762.975718612948,41460.40899145153,1553.6789473684212,0.0,0.0,590.398,0.0,0.0
2019-04-30,8978.193802315964,50438.602793767495,1339.675,0.0,0.0,509.0765,0.0,0.0
2019-05-31,9218.009895225538,59656.61268899303,1377.0578947368422,0.0,0.0,523.282,0.0,0.0
2019-06-30,7468.643971126638,67125.25666011967,1293.417105263158,0.0,0.0,491.49850000000004,0.0,0.0
2019-07-31,8351.141314757317,75476.39797487699,1283.1302631578947,0.0,0.0,487.5895,0.0,0.0
2019-08-31,8746.995220060076,84223.39319493707,1368.4157894736843,0.0,0.0,519.998,0.0,0.0
2019-09-30,9092.072062948935,93315.465257886,1333.7986842105263,0.0,0.0,506.8435,0.0,0.0
2019-10-31,10095.93502317087,103411.40028105686,1481.3605263157895,0.0,0.0,562.917,0.0,0.0
2019-11-30,9690.908157404987,113102.30843846186,1516.4013157894735,0.0,0.0,576.2325,0.0,0.0
2019-12-31,9772.587172416554,122874.8956108784,1585.5828947368423,0.0,0.0,602.5215000000001,0.0,0.0
2020-01-31,9448.545081961689,132323.4406928401,1607.9842105263158,0.0,0.0,611.034,0.0,0.0
2020-02-29,8462.718105767543,140786.15879860762,1518.6342105263159,0.0,0.0,577.081,0.0,0.0
2020-03-31,8272.569243123517,149058.72804173114,1528.3302631578947,0.0,0.0,580.7655,0.0,0.0
2020-04-30,6110.082703320936,155168.8107450521,0.0,0.0,911.9072727272727,0.0,0.0,501.54900000000004
2020-05-31,4512.605463624105,159681.4162086762,0.0,0.0,914.4681818181818,0.0,0.0,502.95750000000004
2020-06-30,4796.774224219639,164478.19043289585,0.0,0.0,897.8799999999999,0.0,0.0,493.834
2020-07-31,4644.207926254384,169122.39835915022,0.0,0.0,865.5190909090909,0.0,0.0,476.0355
2020-08-31,7674.603349938894,176797.00170908912,0.0,0.0,933.3936363636362,0.0,0.0,513.3665
2020-09-30,7815.679292150973,184612.6810012401,1307.9684210526316,0.0,0.0,497.028,0.0,0.0
2020-10-31,9245.12347328188,193857.80447452198,1423.911842105263,0.0,0.0,541.0865,0.0,0.0
2020-11-30,8918.468024900962,202776.27249942295,1481.578947368421,0.0,0.0,563.0,0.0,0.0
2020-12-31,11765.247257274601,214541.51975669755,1576.7907894736843,0.0,0.0,599.1805,0.0,0.0
2021-01-31,13318.203428172408,227859.72318486994,1715.2986842105263,0.0,0.0,651.8135,0.0,0.0
2021-02-28,12264.59385669509,240124.31704156502,1622.9578947368423,0.0,0.0,616.724,0.0,0.0
2021-03-31,12528.814805712253,252653.13184727728,1633.3434210526318,0.0,0.0,620.6705000000001,0.0,0.0
2021-04-30,11820.201548887728,264473.333396165,1470.8855263157895,0.0,0.0,558.9365,0.0,0.0
2021-05-31,13462.252147318286,277935.58554348326,1410.0434210526316,0.0,0.0,535.8165,0.0,0.0
2021-06-30,15870.987804742937,293806.5733482262,1296.4644736842106,0.0,0.0,492.6565,0.0,0.0
2021-07-31,19444.347401902964,313250.92075012915,1314.6697368421053,0.0,0.0,499.5745,0.0,0.0
2021-08-31,22883.47827331727,336134.3990234464,1368.4434210526317,0.0,0.0,520.0085,0.0,0.0
2021-09-30,27207.055194103435,363341.45421754994,1369.2802631578948,0.0,0.0,520.3265,0.0,0.0
2021-10-31,40794.9769634153,404136.4311809652,1509.967105263158,0.0,0.0,573.7875,0.0,0.0
2021-11-30,25696.698847503372,429833.13002846856,1567.580263157895,0.0,0.0,595.6805,0.0,0.0
2021-12-31,27820.552721439795,457653.68274990836,1781.6473684210528,0.0,0.0,677.0260000000001,0.0,0.0
2022-01-31,30112.3888042567,487766.07155416504,1734.7684210526315,0.0,0.0,659.212,0.0,0.0
2022-02-28,33574.01883281405,521340.0903869791,1560.2934210526316,0.0,0.0,592.9115,0.0,0.0
2022-03-31,64379.7121438532,585719.8025308324,1620.6184210526317,0.0,0.0,615.835,0.0,0.0
2022-04-30,50319.95908868792,636039.7616195203,1428.4986842105263,0.0,0.0,542.8295,0.0,0.0
2022-05-31,49760.97765403364,685800.739273554,1356.6868421052634,0.0,0.0,515.541,0.0,0.0
2022-06-30,50058.693820512824,735859.4330940668,1301.075,0.0,0.0,494.4085,0.0,0.0
2022-07-31,54718.96454235425,790578.397636421,1251.0592105263158,0.0,0.0,475.40250000000003,0.0,0.0
2022-08-31,54534.00132172964,845112.3989581506,1347.053947368421,0.0,0.0,511.8805,0.0,0.0
2022-09-30,49078.387123383836,894190.7860815345,1259.7065789473686,0.0,0.0,478.68850000000003,0.0,0.0
2022-10-31,41040.88640556607,935231.6724871006,1306.6868421052632,0.0,0.0,496.541,0.0,0.0
2022-11-30,34125.2194964194,969356.89198352,1406.7802631578948,0.0,0.0,534.5765,0.0,0.0
2022-12-31,49955.86302729528,1019312.7550108153,1645.3263157894737,0.0,0.0,625.224,0.0,0.0
