fuel,coal,coal,coal,oil,oil,oil,gas,gas,gas
metric,bought,generated,stored,bought,generated,stored,bought,generated,stored
Unnamed: 0,,,,,,,,,
2020-01-31,2105.263157894737,800.0,0.0,0.0,0.0,0.0,288.1963636363637,158.50800000000004,0.0
2020-02-29,5000.0,0.0,5000.0,0.0,0.0,0.0,3000.0,912.9795,1340.0372727272727
2020-03-31,0.0,200.56099999999992,4472.207894736843,0.0,0.0,0.0,0.0,732.6895000000001,7.874545454545341
2020-04-30,0.0,0.0,4472.207894736843,0.0,0.0,0.0,3000.0,816.658,1523.0418181818181
2020-05-31,527.7921052631573,0.0,5000.0,0.0,0.0,0.0,3000.0,837.673,3000.0
2020-06-30,0.0,800.0,2894.736842105263,0.0,0.0,0.0,0.0,21.951999999999998,2960.0872727272726
2020-07-31,0.0,299.99999999999983,2105.263157894737,0.0,0.0,0.0,0.0,499.03950000000015,2052.742727272727
2020-08-31,0.0,800.0,0.0,0.0,0.0,0.0,0.0,68.62850000000003,1927.963636363636
2020-09-30,4303.32105263158,35.26200000000017,4210.526315789474,0.0,0.0,0.0,0.0,804.9554999999998,464.40818181818196
2020-10-31,0.0,800.0,2105.263157894737,0.0,0.0,0.0,0.0,122.50300000000004,241.6754545454546
2020-11-30,0.0,800.0,0.0,0.0,0.0,0.0,0.0,132.92150000000004,0.0
2020-12-31,5000.0,800.0,2894.736842105263,1000.0,0.0,1000.0,3000.0,150.44000000000005,2726.4727272727273
2021-01-31,1315.7894736842113,800.0,2105.263157894737,0.0,0.0,1000.0,0.0,229.20299999999997,2309.7400000000002
2021-02-28,5000.0,800.0,5000.0,0.0,0.0,1000.0,1007.3190909090908,174.38250000000005,3000.0
2021-03-31,2105.263157894737,800.0,5000.0,0.0,0.0,1000.0,321.70363636363635,176.937,3000.0
2021-04-30,2105.263157894737,800.0,5000.0,0.0,0.0,1000.0,209.09363636363628,115.00149999999996,3000.0
2021-05-31,2105.263157894737,800.0,5000.0,0.0,0.0,1000.0,200.179090909091,110.09850000000006,3000.0
2021-06-30,0.0,299.99999999999983,4210.526315789474,0.0,0.0,1000.0,0.0,572.0135000000002,1959.975454545454
2021-07-31,0.0,800.0,2105.263157894737,0.0,0.0,1000.0,0.0,71.27600000000007,1830.3827272727267
2021-08-31,0.0,800.0,0.0,0.0,0.0,1000.0,0.0,95.79700000000003,1656.206363636363
2021-09-30,4210.526315789474,800.0,2105.263157894737,0.0,0.0,1000.0,0.0,101.55849999999998,1471.554545454545
2021-10-31,0.0,800.0,0.0,0.0,0.0,1000.0,0.0,125.64499999999998,1243.1090909090904
2021-11-30,2105.263157894737,800.0,0.0,0.0,0.0,1000.0,0.0,172.66600000000005,929.1709090909085
2021-12-31,5000.0,800.0,2894.736842105263,0.0,0.0,1000.0,0.0,237.07650000000012,498.1227272727265
2022-01-31,4210.526315789473,800.0,5000.0,0.0,0.0,1000.0,158.7336363636373,222.66200000000003,252.0163636363637
2022-02-28,2105.263157894737,800.0,5000.0,0.0,0.0,1000.0,3000.0,138.60900000000004,3000.0
2022-03-31,0.0,800.0,2894.736842105263,0.0,0.0,1000.0,0.0,146.67600000000004,2733.3163636363633
2022-04-30,3790.011842105265,800.0,4579.485526315791,0.0,62.10699999999997,811.7969696969698,0.0,0.0,2733.3163636363633
2022-05-31,0.0,158.66800000000006,4161.938157894738,0.0,267.89300000000003,0.0,0.0,437.8039999999999,1937.3090909090909
2022-06-30,0.0,0.0,4161.938157894738,0.0,0.0,0.0,0.0,822.4745,441.90090909090895
2022-07-31,0.0,781.5365,2105.263157894737,0.0,0.0,0.0,0.0,0.0,441.90090909090895
2022-08-31,0.0,800.0,0.0,0.0,0.0,0.0,0.0,48.93150000000003,352.9345454545453
2022-09-30,2105.263157894737,800.0,0.0,0.0,0.0,0.0,0.0,20.813999999999965,315.090909090909
2022-10-31,2105.263157894737,800.0,0.0,0.0,0.0,0.0,0.0,57.67349999999999,210.22999999999993
2022-11-30,2105.263157894737,800.0,0.0,0.0,0.0,0.0,0.0,115.62649999999996,0.0
2022-12-31,2105.263157894737,800.0,0.0,420.0636363636363,138.62099999999998,0.0,0.0,0.0,0.0
